Player,Position,AV,From,To,Notes
Jalen Hurts,QB,75,2020,2024,HurtJa00
JaMarcus Russell,QB,6,2007,2009,RussJa00
Jameis Winston,QB,71,2015,2024,WinsJa00
James Finnegan,E-QB,,1923,1923,FinnJa21
James Harris,QB,42,1969,1979,HarrJa01
James Ritchey,QB,0,1997,1997,RitcJa20
Jamie Martin,QB,9,1996,2007,MartJa00
Jared Goff,QB,113,2016,2024,GoffJa00
Jared Lorenzen,QB,0,2006,2007,LoreJa00
Jaren Hall,QB,1,2023,2023,HallJa00
Jarious Jackson,QB,0,2000,2003,JackJa01
Jarrett Stidham,QB,6,2019,2024,StidJa00
Jason Campbell,QB,54,2006,2014,CampJa00
Jason Garrett,QB,7,1993,2000,GarrJa00
Jay Cutler,QB,109,2006,2017,CutlJa00
Jay Fiedler,QB,43,1995,2005,FiedJa00
Jay Schroeder,QB,71,1985,1994,SchrJa00
Jay Walker,QB,0,1996,1997,WalkJa22
Jayden Daniels,QB,20,2024,2024,DaniJa02
Jeb Blount,QB,1,1977,1977,BlouJe00
Jeff Blake,QB,81,1992,2005,BlakJe00
Jeff Brohm,QB,2,1996,1997,BrohJe00
Jeff Carlson,QB,2,1990,1992,CarlJe00
Jeff Christensen,QB,2,1983,1987,ChriJe20
Jeff Driskel,QB,8,2018,2024,DrisJe00
Jeff Francis,QB,0,1990,1990,FranJe20
Jeff Garcia,QB,104,1999,2009,GarcJe00
Jeff George,QB,79,1990,2001,GeorJe00
Jeff Hostetler,QB,65,1985,1997,HostJe00
Jeff Kemp,QB,23,1981,1991,KempJe00
Jeff Knapple,QB,0,1980,1980,KnapJe20
Jeff Komlo,QB,5,1979,1983,KomlJe00
Jeff Lewis,QB,2,1996,2000,LewiJe01
Jeff Rutledge,QB,8,1979,1992,RutlJe00
Jeff Tuel,QB,1,2013,2013,TuelJe00
Jeff Van Raaphorst,QB,0,1987,1987,VanRJe20
Jerry Golsteyn,QB,2,1977,1983,GolsJe00
Jerry Niles,QB,,1947,1947,NileJe20
Jerry Reichow,E-QB,23,1956,1964,ReicJe00
Jerry Rhome,QB,7,1965,1971,RhomJe00
Jerry Tagge,QB,8,1972,1974,TaggJe00
Jesse Freitas,QB,5,1974,1975,FreiJe00
Jesse Freitas,QB,,1946,1949,FreiJe20
Jesse Palmer,QB,1,2002,2003,PalmJe00
Jim Bob Taylor,QB,0,1983,1983,TaylJi20
Jim Camp,QB,,1948,1948,CampJi20
Jim Capuzzi,DB-QB,,1955,1956,CapuJi20
Jim Crocicchia,QB,0,1987,1987,CrocJi20
Jim Del Gaizo,QB,3,1972,1974,DelGJi00
Jim Druckenmiller,QB,1,1997,1998,DrucJi00
Jim Everett,QB,108,1986,1997,EverJi00
Jim Finks+,QB-DB-TB,,1949,1955,FinkJi00
Jim Gaffney,QB-HB,,1945,1946,GaffJi20
Jim Haluska,QB,,1956,1956,HaluJi20
Jim Harbaugh,QB,102,1987,2000,HarbJi00
Jim Hardy,QB-DB,,1946,1952,HardJi00
Jim Hart,QB,131,1966,1984,HartJi00
Jim Jensen,WR-QB,22,1981,1992,JensJi00
Jim Kelly+,QB,132,1986,1996,KellJi00
Jim LeClair,QB,2,1967,1968,LeClJi00
Jim McMahon,QB,71,1982,1996,McMaJi00
Jim Miller,QB,17,1995,2002,MillJi00
Jim Ninowski,QB,30,1958,1969,NinoJi00
Jim Plunkett,QB,108,1971,1986,PlunJi00
Jim Powers,DB-LB-QB,,1950,1953,PoweJi20
Jim Root,QB,,1953,1956,RootJi20
Jim Sorgi,QB,5,2004,2009,SorgJi00
